time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.radiation_type,.field_of_view,.min_range,.max_range,.range
2021/01/19/15:45:33.153792,1,1611081933,129123052,/ultrasound_3,0,0.259999990463,20.0,600.0,54.0
2021/01/19/15:45:33.452901,2,1611081933,430174076,/ultrasound_3,0,0.259999990463,20.0,600.0,55.0
2021/01/19/15:45:33.756190,3,1611081933,730174076,/ultrasound_3,0,0.259999990463,20.0,600.0,54.0
2021/01/19/15:45:34.055187,4,1611081934,30174076,/ultrasound_3,0,0.259999990463,20.0,600.0,55.0
2021/01/19/15:45:34.354284,5,1611081934,330174076,/ultrasound_3,0,0.259999990463,20.0,600.0,55.0
2021/01/19/15:45:34.653100,6,1611081934,630174076,/ultrasound_3,0,0.259999990463,20.0,600.0,54.0
2021/01/19/15:45:34.956046,7,1611081934,930174076,/ultrasound_3,0,0.259999990463,20.0,600.0,55.0
2021/01/19/15:45:35.255472,8,1611081935,230174076,/ultrasound_3,0,0.259999990463,20.0,600.0,55.0
2021/01/19/15:45:35.554071,9,1611081935,530174076,/ultrasound_3,0,0.259999990463,20.0,600.0,54.0
2021/01/19/15:45:35.853647,10,1611081935,828803096,/ultrasound_3,0,0.259999990463,20.0,600.0,54.0
2021/01/19/15:45:36.156562,11,1611081936,128803096,/ultrasound_3,0,0.259999990463,20.0,600.0,54.0
2021/01/19/15:45:36.455500,12,1611081936,428803096,/ultrasound_3,0,0.259999990463,20.0,600.0,54.0
2021/01/19/15:45:36.754804,13,1611081936,728803096,/ultrasound_3,0,0.259999990463,20.0,600.0,54.0
2021/01/19/15:45:37.053653,14,1611081937,28803096,/ultrasound_3,0,0.259999990463,20.0,600.0,54.0
2021/01/19/15:45:37.356899,15,1611081937,328803096,/ultrasound_3,0,0.259999990463,20.0,600.0,54.0
2021/01/19/15:45:37.656089,16,1611081937,628803096,/ultrasound_3,0,0.259999990463,20.0,600.0,54.0
2021/01/19/15:45:37.954410,17,1611081937,928803096,/ultrasound_3,0,0.259999990463,20.0,600.0,55.0
2021/01/19/15:45:38.253423,18,1611081938,228803096,/ultrasound_3,0,0.259999990463,20.0,600.0,54.0
2021/01/19/15:45:38.556990,19,1611081938,537921096,/ultrasound_3,0,0.259999990463,20.0,600.0,54.0
2021/01/19/15:45:38.856079,20,1611081938,837921096,/ultrasound_3,0,0.259999990463,20.0,600.0,54.0
2021/01/19/15:45:39.155202,21,1611081939,137921096,/ultrasound_3,0,0.259999990463,20.0,600.0,54.0
2021/01/19/15:45:39.454271,22,1611081939,437921096,/ultrasound_3,0,0.259999990463,20.0,600.0,54.0
2021/01/19/15:45:39.757324,23,1611081939,737921096,/ultrasound_3,0,0.259999990463,20.0,600.0,54.0
2021/01/19/15:45:40.056478,24,1611081940,38921096,/ultrasound_3,0,0.259999990463,20.0,600.0,54.0
2021/01/19/15:45:40.355474,25,1611081940,337921096,/ultrasound_3,0,0.259999990463,20.0,600.0,54.0
2021/01/19/15:45:40.654542,26,1611081940,637921096,/ultrasound_3,0,0.259999990463,20.0,600.0,54.0
2021/01/19/15:45:40.953542,27,1611081940,928214101,/ultrasound_3,0,0.259999990463,20.0,600.0,54.0
2021/01/19/15:45:41.252530,28,1611081941,228214101,/ultrasound_3,0,0.259999990463,20.0,600.0,54.0
2021/01/19/15:45:41.555846,29,1611081941,528214101,/ultrasound_3,0,0.259999990463,20.0,600.0,54.0
2021/01/19/15:45:41.854705,30,1611081941,828214101,/ultrasound_3,0,0.259999990463,20.0,600.0,54.0
2021/01/19/15:45:42.153659,31,1611081942,128214101,/ultrasound_3,0,0.259999990463,20.0,600.0,54.0
