time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.radiation_type,.field_of_view,.min_range,.max_range,.range
2021/01/19/15:45:33.145642,1,1611081933,129123052,/ultrasound_2,0,0.259999990463,20.0,600.0,204.0
2021/01/19/15:45:33.444893,2,1611081933,430174076,/ultrasound_2,0,0.259999990463,20.0,600.0,204.0
2021/01/19/15:45:33.743413,3,1611081933,730174076,/ultrasound_2,0,0.259999990463,20.0,600.0,204.0
2021/01/19/15:45:34.047032,4,1611081934,30174076,/ultrasound_2,0,0.259999990463,20.0,600.0,204.0
2021/01/19/15:45:34.345936,5,1611081934,330174076,/ultrasound_2,0,0.259999990463,20.0,600.0,204.0
2021/01/19/15:45:34.644750,6,1611081934,630174076,/ultrasound_2,0,0.259999990463,20.0,600.0,204.0
2021/01/19/15:45:34.943456,7,1611081934,930174076,/ultrasound_2,0,0.259999990463,20.0,600.0,204.0
2021/01/19/15:45:35.247148,8,1611081935,230174076,/ultrasound_2,0,0.259999990463,20.0,600.0,204.0
2021/01/19/15:45:35.545875,9,1611081935,530174076,/ultrasound_2,0,0.259999990463,20.0,600.0,204.0
2021/01/19/15:45:35.845238,10,1611081935,828803096,/ultrasound_2,0,0.259999990463,20.0,600.0,204.0
2021/01/19/15:45:36.144356,11,1611081936,128803096,/ultrasound_2,0,0.259999990463,20.0,600.0,204.0
2021/01/19/15:45:36.447421,12,1611081936,428803096,/ultrasound_2,0,0.259999990463,20.0,600.0,204.0
2021/01/19/15:45:36.746498,13,1611081936,728803096,/ultrasound_2,0,0.259999990463,20.0,600.0,204.0
2021/01/19/15:45:37.045413,14,1611081937,28803096,/ultrasound_2,0,0.259999990463,20.0,600.0,204.0
2021/01/19/15:45:37.344638,15,1611081937,328803096,/ultrasound_2,0,0.259999990463,20.0,600.0,204.0
2021/01/19/15:45:37.647734,16,1611081937,628803096,/ultrasound_2,0,0.259999990463,20.0,600.0,204.0
2021/01/19/15:45:37.946438,17,1611081937,928803096,/ultrasound_2,0,0.259999990463,20.0,600.0,204.0
2021/01/19/15:45:38.245169,18,1611081938,228803096,/ultrasound_2,0,0.259999990463,20.0,600.0,204.0
2021/01/19/15:45:38.544561,19,1611081938,537921096,/ultrasound_2,0,0.259999990463,20.0,600.0,204.0
2021/01/19/15:45:38.847860,20,1611081938,837921096,/ultrasound_2,0,0.259999990463,20.0,600.0,204.0
2021/01/19/15:45:39.147036,21,1611081939,137921096,/ultrasound_2,0,0.259999990463,20.0,600.0,204.0
2021/01/19/15:45:39.445956,22,1611081939,437921096,/ultrasound_2,0,0.259999990463,20.0,600.0,204.0
2021/01/19/15:45:39.745121,23,1611081939,737921096,/ultrasound_2,0,0.259999990463,20.0,600.0,204.0
2021/01/19/15:45:40.048161,24,1611081940,38921096,/ultrasound_2,0,0.259999990463,20.0,600.0,204.0
2021/01/19/15:45:40.347078,25,1611081940,337921096,/ultrasound_2,0,0.259999990463,20.0,600.0,204.0
2021/01/19/15:45:40.646322,26,1611081940,637921096,/ultrasound_2,0,0.259999990463,20.0,600.0,204.0
2021/01/19/15:45:40.945274,27,1611081940,928214101,/ultrasound_2,0,0.259999990463,20.0,600.0,204.0
2021/01/19/15:45:41.244427,28,1611081941,228214101,/ultrasound_2,0,0.259999990463,20.0,600.0,204.0
2021/01/19/15:45:41.547313,29,1611081941,528214101,/ultrasound_2,0,0.259999990463,20.0,600.0,204.0
2021/01/19/15:45:41.846575,30,1611081941,828214101,/ultrasound_2,0,0.259999990463,20.0,600.0,204.0
2021/01/19/15:45:42.145565,31,1611081942,128214101,/ultrasound_2,0,0.259999990463,20.0,600.0,204.0
2021/01/19/15:45:42.444663,32,1611081942,428214101,/ultrasound_2,0,0.259999990463,20.0,600.0,204.0
2021/01/19/15:45:42.743587,33,1611081942,728214101,/ultrasound_2,0,0.259999990463,20.0,600.0,204.0
2021/01/19/15:45:43.046790,34,1611081943,28214101,/ultrasound_2,0,0.259999990463,20.0,600.0,204.0
2021/01/19/15:45:43.345136,35,1611081943,329438070,/ultrasound_2,0,0.259999990463,20.0,600.0,204.0
2021/01/19/15:45:43.644840,36,1611081943,629438070,/ultrasound_2,0,0.259999990463,20.0,600.0,204.0
2021/01/19/15:45:43.943934,37,1611081943,929438070,/ultrasound_2,0,0.259999990463,20.0,600.0,204.0
2021/01/19/15:45:44.246984,38,1611081944,229438070,/ultrasound_2,0,0.259999990463,20.0,600.0,204.0
2021/01/19/15:45:44.546040,39,1611081944,529438070,/ultrasound_2,0,0.259999990463,20.0,600.0,204.0
2021/01/19/15:45:44.844991,40,1611081944,829438070,/ultrasound_2,0,0.259999990463,20.0,600.0,204.0
2021/01/19/15:45:45.144265,41,1611081945,129438070,/ultrasound_2,0,0.259999990463,20.0,600.0,204.0
