time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.radiation_type,.field_of_view,.min_range,.max_range,.range
2021/01/19/15:45:49.666544,56,1611081949,630290105,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:49.965679,57,1611081949,929290105,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:50.264644,58,1611081950,229290105,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:50.563692,59,1611081950,529290105,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:50.862705,60,1611081950,831100107,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:51.161729,61,1611081951,131100107,/ultrasound_4,0,0.259999990463,20.0,600.0,30.0
2021/01/19/15:45:51.464814,62,1611081951,431100107,/ultrasound_4,0,0.259999990463,20.0,600.0,31.0
2021/01/19/15:45:51.763965,63,1611081951,731100107,/ultrasound_4,0,0.259999990463,20.0,600.0,33.0
2021/01/19/15:45:52.062925,64,1611081952,31100107,/ultrasound_4,0,0.259999990463,20.0,600.0,33.0
2021/01/19/15:45:52.361897,65,1611081952,331100107,/ultrasound_4,0,0.259999990463,20.0,600.0,33.0
2021/01/19/15:45:52.665119,66,1611081952,631100107,/ultrasound_4,0,0.259999990463,20.0,600.0,32.0
2021/01/19/15:45:52.964398,67,1611081952,931100107,/ultrasound_4,0,0.259999990463,20.0,600.0,31.0
2021/01/19/15:45:53.263153,68,1611081953,231100107,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:53.561817,69,1611081953,530255924,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:53.865340,70,1611081953,830255924,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:54.164449,71,1611081954,130255924,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:54.463322,72,1611081954,430255924,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:54.762545,73,1611081954,730255924,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:55.065649,74,1611081955,30255924,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:55.364680,75,1611081955,330255924,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:55.663337,76,1611081955,630255924,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:55.962746,77,1611081955,928664884,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:56.265925,78,1611081956,228664884,/ultrasound_4,0,0.259999990463,20.0,600.0,50.0
2021/01/19/15:45:56.564806,79,1611081956,528664884,/ultrasound_4,0,0.259999990463,20.0,600.0,50.0
2021/01/19/15:45:56.863889,80,1611081956,828664884,/ultrasound_4,0,0.259999990463,20.0,600.0,50.0
2021/01/19/15:45:57.163026,81,1611081957,128664884,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:57.466191,82,1611081957,428664884,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:57.765104,83,1611081957,728664884,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:58.063796,84,1611081958,28664884,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:45:58.363233,85,1611081958,328664884,/ultrasound_4,0,0.259999990463,20.0,600.0,50.0
2021/01/19/15:45:58.666441,86,1611081958,629471107,/ultrasound_4,0,0.259999990463,20.0,600.0,50.0
2021/01/19/15:45:58.965332,87,1611081958,929471107,/ultrasound_4,0,0.259999990463,20.0,600.0,50.0
2021/01/19/15:45:59.264470,88,1611081959,230471107,/ultrasound_4,0,0.259999990463,20.0,600.0,50.0
2021/01/19/15:45:59.563554,89,1611081959,529471107,/ultrasound_4,0,0.259999990463,20.0,600.0,50.0
2021/01/19/15:45:59.862570,90,1611081959,829471107,/ultrasound_4,0,0.259999990463,20.0,600.0,50.0
2021/01/19/15:46:00.165443,91,1611081960,129471107,/ultrasound_4,0,0.259999990463,20.0,600.0,50.0
2021/01/19/15:46:00.464580,92,1611081960,429471107,/ultrasound_4,0,0.259999990463,20.0,600.0,50.0
2021/01/19/15:46:00.763790,93,1611081960,729471107,/ultrasound_4,0,0.259999990463,20.0,600.0,50.0
2021/01/19/15:46:01.062214,94,1611081961,30363912,/ultrasound_4,0,0.259999990463,20.0,600.0,50.0
2021/01/19/15:46:01.361793,95,1611081961,330363912,/ultrasound_4,0,0.259999990463,20.0,600.0,50.0
2021/01/19/15:46:01.664908,96,1611081961,630363912,/ultrasound_4,0,0.259999990463,20.0,600.0,50.0
2021/01/19/15:46:01.964032,97,1611081961,930363912,/ultrasound_4,0,0.259999990463,20.0,600.0,50.0
2021/01/19/15:46:02.263129,98,1611081962,230363912,/ultrasound_4,0,0.259999990463,20.0,600.0,50.0
2021/01/19/15:46:02.562112,99,1611081962,530363912,/ultrasound_4,0,0.259999990463,20.0,600.0,50.0
2021/01/19/15:46:02.865257,100,1611081962,830363912,/ultrasound_4,0,0.259999990463,20.0,600.0,50.0
2021/01/19/15:46:03.164210,101,1611081963,130363912,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:03.463282,102,1611081963,430363912,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:03.762290,103,1611081963,728517951,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:04.065389,104,1611081964,28517951,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:04.363989,105,1611081964,328517951,/ultrasound_4,0,0.259999990463,20.0,600.0,50.0
2021/01/19/15:46:04.663494,106,1611081964,628517951,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:04.962611,107,1611081964,928517951,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:05.265698,108,1611081965,228517951,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:05.564694,109,1611081965,528517951,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:05.863800,110,1611081965,828517951,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:06.162816,111,1611081966,128695096,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:06.465995,112,1611081966,428695096,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:06.764947,113,1611081966,728695096,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:07.063975,114,1611081967,28695096,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:07.363279,115,1611081967,328695096,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:07.666245,116,1611081967,628695096,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:07.965211,117,1611081967,928695096,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:08.264297,118,1611081968,228695096,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:08.563237,119,1611081968,529194034,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:08.866509,120,1611081968,830194034,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:09.165383,121,1611081969,129194034,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:09.464522,122,1611081969,429194034,/ultrasound_4,0,0.259999990463,20.0,600.0,50.0
2021/01/19/15:46:09.763491,123,1611081969,729194034,/ultrasound_4,0,0.259999990463,20.0,600.0,50.0
2021/01/19/15:46:10.062640,124,1611081970,29194034,/ultrasound_4,0,0.259999990463,20.0,600.0,50.0
2021/01/19/15:46:10.365963,125,1611081970,329194034,/ultrasound_4,0,0.259999990463,20.0,600.0,50.0
2021/01/19/15:46:10.664700,126,1611081970,629194034,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:10.963864,127,1611081970,929194034,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:11.262781,128,1611081971,229194034,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:11.561911,129,1611081971,529194034,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:11.864895,130,1611081971,829194034,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:12.164444,131,1611081972,129194034,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:12.463072,132,1611081972,429194034,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:12.762132,133,1611081972,729194034,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:13.065276,134,1611081973,29194034,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:13.364302,135,1611081973,329194034,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
2021/01/19/15:46:13.663281,136,1611081973,629124032,/ultrasound_4,0,0.259999990463,20.0,600.0,49.0
