time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.radiation_type,.field_of_view,.min_range,.max_range,.range
2021/01/19/15:45:33.137537,1,1611081933,129123052,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:33.436663,2,1611081933,430174076,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:33.735790,3,1611081933,730174076,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:34.034805,4,1611081934,30174076,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:34.337489,5,1611081934,330174076,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:34.636836,6,1611081934,630174076,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:34.935358,7,1611081934,930174076,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:35.234880,8,1611081935,230174076,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:35.537730,9,1611081935,530174076,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:35.837017,10,1611081935,828803096,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:36.136178,11,1611081936,128803096,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:36.435018,12,1611081936,428803096,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:36.738335,13,1611081936,728803096,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:37.037272,14,1611081937,28803096,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:37.336440,15,1611081937,328803096,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:37.635398,16,1611081937,628803096,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:37.937976,17,1611081937,928803096,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:38.237514,18,1611081938,228803096,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:38.536256,19,1611081938,537921096,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:38.835552,20,1611081938,837921096,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:39.138824,21,1611081939,137921096,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:39.437828,22,1611081939,437921096,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:39.736819,23,1611081939,737921096,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:40.035935,24,1611081940,38921096,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:40.334922,25,1611081940,337921096,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:40.637946,26,1611081940,637921096,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:40.937048,27,1611081940,928214101,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:41.236176,28,1611081941,228214101,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:41.535234,29,1611081941,528214101,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:41.838126,30,1611081941,828214101,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:42.137425,31,1611081942,128214101,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:42.436327,32,1611081942,428214101,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:42.735378,33,1611081942,728214101,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:43.034530,34,1611081943,28214101,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:43.337601,35,1611081943,329438070,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:43.636618,36,1611081943,629438070,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:43.935729,37,1611081943,929438070,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:44.234740,38,1611081944,229438070,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:44.537930,39,1611081944,529438070,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:44.836921,40,1611081944,829438070,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:45.136011,41,1611081945,129438070,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:45.435017,42,1611081945,429438070,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:45.738184,43,1611081945,729438070,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:46.037104,44,1611081946,39542892,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:46.336194,45,1611081946,339542892,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:46.635245,46,1611081946,639542892,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:46.938402,47,1611081946,939542892,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:47.237395,48,1611081947,239542892,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:47.536462,49,1611081947,539542892,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:47.835558,50,1611081947,839542892,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:48.138633,51,1611081948,139542892,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:48.437616,52,1611081948,429290105,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:48.736722,53,1611081948,729290105,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:49.035833,54,1611081949,29290105,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:49.338888,55,1611081949,329290105,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:49.637744,56,1611081949,630290105,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:49.936833,57,1611081949,929290105,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:50.236093,58,1611081950,229290105,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:50.535048,59,1611081950,529290105,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:50.838141,60,1611081950,831100107,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:51.137233,61,1611081951,131100107,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:51.436243,62,1611081951,431100107,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:51.735239,63,1611081951,731100107,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:52.034372,64,1611081952,31100107,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:52.337409,65,1611081952,331100107,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:52.636516,66,1611081952,631100107,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:52.935487,67,1611081952,931100107,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:53.234556,68,1611081953,231100107,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:53.537654,69,1611081953,530255924,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:53.836489,70,1611081953,830255924,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:54.135730,71,1611081954,130255924,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:54.435001,72,1611081954,430255924,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:54.737983,73,1611081954,730255924,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:55.036885,74,1611081955,30255924,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:55.335906,75,1611081955,330255924,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:55.634346,76,1611081955,630255924,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:55.938268,77,1611081955,928664884,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:56.237154,78,1611081956,228664884,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:56.536100,79,1611081956,528664884,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:56.835242,80,1611081956,828664884,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:57.138550,81,1611081957,128664884,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:57.437420,82,1611081957,428664884,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:57.736616,83,1611081957,728664884,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:58.034957,84,1611081958,28664884,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:58.338733,85,1611081958,328664884,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:58.637748,86,1611081958,629471107,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:45:58.936787,87,1611081958,929471107,/ultrasound_1,0,0.259999990463,20.0,600.0,27.0
2021/01/19/15:45:59.235823,88,1611081959,230471107,/ultrasound_1,0,0.259999990463,20.0,600.0,27.0
2021/01/19/15:45:59.534940,89,1611081959,529471107,/ultrasound_1,0,0.259999990463,20.0,600.0,27.0
2021/01/19/15:45:59.837918,90,1611081959,829471107,/ultrasound_1,0,0.259999990463,20.0,600.0,27.0
2021/01/19/15:46:00.136927,91,1611081960,129471107,/ultrasound_1,0,0.259999990463,20.0,600.0,27.0
2021/01/19/15:46:00.435990,92,1611081960,429471107,/ultrasound_1,0,0.259999990463,20.0,600.0,27.0
2021/01/19/15:46:00.734996,93,1611081960,729471107,/ultrasound_1,0,0.259999990463,20.0,600.0,27.0
2021/01/19/15:46:01.037501,94,1611081961,30363912,/ultrasound_1,0,0.259999990463,20.0,600.0,27.0
2021/01/19/15:46:01.337226,95,1611081961,330363912,/ultrasound_1,0,0.259999990463,20.0,600.0,27.0
2021/01/19/15:46:01.636248,96,1611081961,630363912,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:46:01.935287,97,1611081961,930363912,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:46:02.234359,98,1611081962,230363912,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:46:02.537486,99,1611081962,530363912,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:46:02.836477,100,1611081962,830363912,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:46:03.135514,101,1611081963,130363912,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:46:03.434599,102,1611081963,430363912,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:46:03.737587,103,1611081963,728517951,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:46:04.036547,104,1611081964,28517951,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:46:04.335206,105,1611081964,328517951,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:46:04.634881,106,1611081964,628517951,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:46:04.937942,107,1611081964,928517951,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:46:05.236969,108,1611081965,228517951,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:46:05.536066,109,1611081965,528517951,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:46:05.834949,110,1611081965,828517951,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:46:06.138269,111,1611081966,128695096,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:46:06.437234,112,1611081966,428695096,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:46:06.736231,113,1611081966,728695096,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:46:07.035351,114,1611081967,28695096,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:46:07.338516,115,1611081967,328695096,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:46:07.637525,116,1611081967,628695096,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:46:07.936576,117,1611081967,928695096,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:46:08.235548,118,1611081968,228695096,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:46:08.538793,119,1611081968,529194034,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:46:08.837791,120,1611081968,830194034,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:46:09.136734,121,1611081969,129194034,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:46:09.435928,122,1611081969,429194034,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:46:09.734953,123,1611081969,729194034,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:46:10.037916,124,1611081970,29194034,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:46:10.337099,125,1611081970,329194034,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:46:10.636018,126,1611081970,629194034,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:46:10.935063,127,1611081970,929194034,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:46:11.238131,128,1611081971,229194034,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:46:11.537175,129,1611081971,529194034,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:46:11.836139,130,1611081971,829194034,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:46:12.135335,131,1611081972,129194034,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
2021/01/19/15:46:12.434487,132,1611081972,429194034,/ultrasound_1,0,0.259999990463,20.0,600.0,61.0
