time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.radiation_type,.field_of_view,.min_range,.max_range,.range
2021/01/19/15:45:33.182009,1,1611081933,129123052,/ultrasound_6,0,0.259999990463,20.0,600.0,187.0
2021/01/19/15:45:33.481610,2,1611081933,430174076,/ultrasound_6,0,0.259999990463,20.0,600.0,187.0
2021/01/19/15:45:33.780728,3,1611081933,730174076,/ultrasound_6,0,0.259999990463,20.0,600.0,187.0
2021/01/19/15:45:34.083057,4,1611081934,30174076,/ultrasound_6,0,0.259999990463,20.0,600.0,187.0
2021/01/19/15:45:34.382401,5,1611081934,330174076,/ultrasound_6,0,0.259999990463,20.0,600.0,187.0
2021/01/19/15:45:34.681231,6,1611081934,630174076,/ultrasound_6,0,0.259999990463,20.0,600.0,187.0
2021/01/19/15:45:34.980638,7,1611081934,930174076,/ultrasound_6,0,0.259999990463,20.0,600.0,187.0
2021/01/19/15:45:35.283883,8,1611081935,230174076,/ultrasound_6,0,0.259999990463,20.0,600.0,187.0
2021/01/19/15:45:35.582395,9,1611081935,530174076,/ultrasound_6,0,0.259999990463,20.0,600.0,187.0
2021/01/19/15:45:35.882129,10,1611081935,828803096,/ultrasound_6,0,0.259999990463,20.0,600.0,187.0
2021/01/19/15:45:36.181106,11,1611081936,128803096,/ultrasound_6,0,0.259999990463,20.0,600.0,187.0
2021/01/19/15:45:36.484272,12,1611081936,428803096,/ultrasound_6,0,0.259999990463,20.0,600.0,187.0
2021/01/19/15:45:36.783243,13,1611081936,728803096,/ultrasound_6,0,0.259999990463,20.0,600.0,187.0
2021/01/19/15:45:37.082416,14,1611081937,28803096,/ultrasound_6,0,0.259999990463,20.0,600.0,187.0
2021/01/19/15:45:37.381315,15,1611081937,328803096,/ultrasound_6,0,0.259999990463,20.0,600.0,187.0
2021/01/19/15:45:37.684528,16,1611081937,628803096,/ultrasound_6,0,0.259999990463,20.0,600.0,187.0
2021/01/19/15:45:37.982761,17,1611081937,928803096,/ultrasound_6,0,0.259999990463,20.0,600.0,187.0
2021/01/19/15:45:38.282311,18,1611081938,228803096,/ultrasound_6,0,0.259999990463,20.0,600.0,187.0
2021/01/19/15:45:38.581604,19,1611081938,537921096,/ultrasound_6,0,0.259999990463,20.0,600.0,187.0
2021/01/19/15:45:38.884349,20,1611081938,837921096,/ultrasound_6,0,0.259999990463,20.0,600.0,187.0
2021/01/19/15:45:39.183709,21,1611081939,137921096,/ultrasound_6,0,0.259999990463,20.0,600.0,187.0
2021/01/19/15:45:39.482841,22,1611081939,437921096,/ultrasound_6,0,0.259999990463,20.0,600.0,187.0
2021/01/19/15:45:39.781922,23,1611081939,737921096,/ultrasound_6,0,0.259999990463,20.0,600.0,187.0
2021/01/19/15:45:40.084793,24,1611081940,38921096,/ultrasound_6,0,0.259999990463,20.0,600.0,187.0
2021/01/19/15:45:40.383517,25,1611081940,337921096,/ultrasound_6,0,0.259999990463,20.0,600.0,187.0
2021/01/19/15:45:40.683017,26,1611081940,637921096,/ultrasound_6,0,0.259999990463,20.0,600.0,187.0
2021/01/19/15:45:40.982145,27,1611081940,928214101,/ultrasound_6,0,0.259999990463,20.0,600.0,187.0
2021/01/19/15:45:41.281231,28,1611081941,228214101,/ultrasound_6,0,0.259999990463,20.0,600.0,186.0
